排名,痛点词,热度,关联视频数,互动量,曝光量,关联销量
1168,太贵,0.03,1,45,20+,158
1169,络腮胡,0.03,1,293,-,158
1170,显深显土,0.03,1,293,-,158
1171,硬抠硬掰,0.03,1,610,-,158
1172,脸上斑点多,0.03,1,163,14w+,158
1173,难驾驭,0.03,1,111,2.9w+,157
1174,脸暗斑痕,0.03,1,1406,7.3w+,157
1175,阴囊潮湿痒,0.03,1,189,-,157
1176,面罔定往涂,0.03,1,492,3.5w+,157
1177,睫毛短,0.03,1,44,5.5w+,156
1178,反复补涂,0.03,1,181,4.7w+,156
1179,容易干裂,0.03,1,70,-,156
1180,无蓬蓬感,0.03,1,90,230+,156
1181,不会刷睫毛,0.03,1,44,5.5w+,156
1182,黑眼圈盖不住,0.03,1,90,230+,156
1183,怕掉颜色,0.03,1,66,-,155
1184,频繁补妆,0.03,1,66,-,155
1185,有粉扑印,0.03,1,127,3.2w+,154
1186,长得磕碜,0.03,1,127,3.2w+,154
1187,新手下手过重,0.03,1,90,710+,154
1188,斑了,0.03,1,34,1.2w+,153
1189,出油量大,0.03,1,98,6.3w+,153
1190,带彩妆多,0.03,1,55,-,153
1191,毛孔脏污,0.03,1,98,6.3w+,153
1192,皮肤不稳,0.03,1,48,8100+,153
1193,角质较厚,0.03,1,98,6.3w+,153
1194,又干又卡粉,0.03,1,13,4.7w+,153
1195,认不好刷型,0.03,1,86,910+,153
1196,面顶黏,0.03,1,126,6300+,152
1197,元有点贵,0.03,1,5806,-,152
1198,唇部发干,0.03,1,67,4.4w+,152
1199,手动夹疼,0.03,1,5806,-,152
1200,眉毛褪色,0.03,1,126,6300+,152
1201,粉遮会钻,0.03,1,126,6300+,152
1202,手动夹成L型,0.03,1,5806,-,152
1203,夹不出来效果,0.03,1,5806,-,152
1204,手动夹塌睫毛,0.03,1,5806,-,152
1205,精华滴漏,0.03,1,244,9.6w+,151
1206,面膜过贵,0.03,1,244,9.6w+,151
1207,不服帖不持妆,0.03,1,461,9.4w+,151
1208,满脸印子,0.03,1,67,3.7w+,150
1209,卡粉显毛孔,0.03,1,143,-,149
1210,毛孔堵住,0.03,1,39,5.3w+,148
1211,毛孔疙瘩,0.03,1,39,5.3w+,148
1212,浪费时间,0.03,1,30,1.3w+,148
1213,皮肤晒黑,0.03,1,86,1.9w+,148
1214,脸上痘印,0.03,1,215,11w+,148
1215,脸上长痘,0.03,1,39,5.3w+,148
1216,洗不干净脸,0.03,1,39,5.3w+,148
1217,好气色,0.03,1,75,1.3w+,147
1218,皮肤不白,0.03,1,95,3700+,147
1219,普通洗面奶,0.03,1,95,3700+,147
1220,毛孔脏东西,0.03,1,95,3700+,147
1221,乌目框,0.03,1,346,2.2w+,146
1222,扎磨眼,0.03,1,43,-,146
1223,画眼线,0.03,1,43,-,146
1224,眼落水,0.03,1,346,2.2w+,146
1225,怕水沾杯,0.03,1,118,9400+,146
1226,妆容不丰富,0.03,1,394,2700+,146
1227,夸张,0.03,1,900,-,145
1228,不隐形,0.03,1,516,4.9w+,145
1229,成本高,0.03,1,516,4.9w+,145
1230,化妆起油,0.03,1,75,4.5w+,145
1231,戳耳生疼,0.03,1,516,4.9w+,145
1232,材质硬邦,0.03,1,516,4.9w+,145
1233,毛孔很大,0.03,1,75,4.5w+,145
1234,挤痘留痘印,0.03,1,60,3.2w+,145
1235,耳贴无弧度,0.03,1,516,4.9w+,145
1236,长痘鼓大包,0.03,1,60,3.2w+,145
1237,又长痘,0.03,1,77,1.4w+,143
1238,提亮干,0.03,1,85,-,143
1239,脸老黄,0.03,1,123,3.2w+,143
1240,干燥爆皮,0.03,1,123,3.2w+,143
1241,敏敏泛红,0.03,1,123,3.2w+,143
1242,粗大泛油,0.03,1,123,3.2w+,143
1243,韩妆老化翻车,0.03,1,70,-,143
1244,脸脏,0.03,1,290,5.2w+,142
1245,割双眼皮,0.03,1,812,-,142
1246,搓条易折,0.03,1,1,-,142
1247,脸和脖子色差,0.03,1,290,5.2w+,142
1248,浅印子,0.03,1,76,220+,141
1249,包包点点,0.03,1,76,220+,141
1250,红黑一片,0.03,1,76,220+,141
1251,长黑头闭口,0.03,1,30,2.1w+,141
1252,看着吃不下饭,0.03,1,30,2.1w+,141
1253,下眼袋,0.03,1,276,4.6w+,140
1254,反黑反青,0.03,1,148,1500+,140
1255,粗糙皮肤,0.03,1,78,3.2w+,140
1256,考验技术,0.03,1,145,-,140
1257,贴睫毛难,0.03,1,145,-,140
1258,皮肤臭痒,0.03,1,1335,9.5w+,139
1259,唇干,0.03,1,23,1.3w+,138
1260,浪费,0.03,1,23,1.3w+,138
1261,留脱球,0.03,1,736,4.1w+,138
1262,脸干裂,0.03,1,365,7.1w+,138
1263,脸起皮,0.03,1,365,7.1w+,138
1264,非常糙,0.03,1,426,11w+,138
1265,颗粒物,0.03,1,426,11w+,138
1266,生硬结块,0.03,1,323,-,138
1267,睫毛留胶,0.03,1,736,4.1w+,138
1268,颜值影响,0.03,1,323,-,138
1269,黏住眼皮,0.03,1,736,4.1w+,138
1270,田框式眉毛,0.03,1,323,-,138
1271,瓶罐多,0.03,1,59,2.0w+,137
1272,无精华用,0.03,1,59,2.0w+,137
1273,睁眼露馅,0.03,1,1064,-,137
1274,眼尾容易塌,0.03,1,1064,-,137
1275,贴不好报废,0.03,1,1064,-,137
1276,黏腻不吸收,0.03,1,59,2.0w+,137
1277,假白发灰,0.03,1,136,1.6w+,136
1278,皮肤麻麻赖,0.03,1,93,1500+,136
1279,嘴巴不够亮,0.03,1,99,3.6w+,135
1280,闷肤,0.03,1,90,10w+,133
1281,眉毛生硬,0.03,1,150,-,133
1282,难以上手,0.03,1,150,-,133
1283,花脸,0.03,1,44,1900+,132
1284,光损伤,0.03,1,44,1900+,132
1285,皮肤乌,0.03,1,111,2.1w+,132
1286,一碰就掉,0.03,1,154,-,132
1287,底妆瑕疵,0.03,1,159,3600+,132
1288,掉渣晕妆,0.03,1,90,-,132
1289,染眉痕迹,0.03,1,162,-,132
1290,深色斑点,0.03,1,159,3600+,132
1291,满脸油光,0.03,1,119,-,132
1292,画眉手抖,0.03,1,145,-,132
1293,纹眉显老,0.03,1,145,-,132
1294,结块发黄,0.03,1,162,-,132
1295,厚重不自然,0.03,1,154,-,132
1296,底妆不通透,0.03,1,119,-,132
1297,画眉毛生硬,0.03,1,145,-,132
1298,画眉毛结块,0.03,1,145,-,132
1299,结块一团黑,0.03,1,154,-,132
1300,毛孔有脏东西,0.03,1,119,-,132
1301,结块掉,0.03,1,248,100+,130
1302,脸太干,0.03,1,151,7.4w+,130
1303,脸脱皮,0.03,1,151,7.4w+,130
1304,长粒粒,0.03,1,847,7.9w+,130
1305,画眉生硬,0.03,1,145,-,130
1306,眼周缺水,0.03,1,847,7.9w+,130
1307,眼霜不吸收,0.03,1,847,7.9w+,130
1308,咬肌大,0.03,1,174,-,129
1309,时间紧,0.03,1,315,2.8w+,129
1310,没空化妆,0.03,1,315,2.8w+,129
1311,眼角耷拉,0.03,1,174,-,129
1312,气垫不好用,0.03,1,75,2400+,129
1313,美白试错贵,0.03,1,88,4.3w+,129
1314,下颚线不明显,0.03,1,174,-,129
1315,唇纹拔干,0.03,1,147,4.2w+,128
1316,柴米油盐,0.03,1,98,-,128
1317,寂寞午夜,0.03,1,109,-,127
1318,生活鸡毛,0.03,1,397,2.8w+,127
1319,粉扑难用,0.03,1,734,1.0w+,127
1320,不会说教程,0.03,1,169,8.8w+,127
1321,干敏唇,0.03,1,70,-,126
1322,嘴巴唇纹,0.03,1,423,3.8w+,126
1323,太勒太闷,0.03,1,77,4.3w+,126
1324,容易松动,0.03,1,77,4.3w+,126
1325,显老显凶,0.03,1,87,-,126
1326,皮肤长斑,0.03,1,103,1100+,126
1327,整个人更黄,0.03,1,87,-,126
1328,唇部薄泌油少,0.03,1,70,-,126
1329,嘴巴拔干紧绷,0.03,1,70,-,126
1330,太白,0.03,1,150,2700+,125
1331,产品贵,0.03,1,111,740+,125
1332,眼角纹,0.03,1,49,-,125
1333,刷毛炸毛,0.03,1,735,-,125
1334,工具闷坏,0.03,1,735,-,125
1335,眼周松弛,0.03,1,89,1.6w+,125
1336,眼周长纹,0.03,1,89,1.6w+,125
1337,粉扑洗坏,0.03,1,735,-,125
1338,闷洞闷孔,0.03,1,150,2700+,125
1339,脸上有纹纹路,0.03,1,39,2.1w+,125
1340,脸上松松垮垮,0.03,1,39,2.1w+,125
1341,一脸麻赖,0.03,1,469,-,124
1342,口红脱妆,0.03,1,47,-,124
1343,鸡肋,0.03,1,69,-,123
1344,底妆浮粉,0.03,1,195,3600+,123
1345,皮肤暗淡,0.03,1,93,1.3w+,123
1346,嘴巴没气色,0.03,1,227,-,123
1347,手机玩很晚,0.03,1,71,1.4w+,123
1348,唇薄,0.03,1,178,-,122
1349,唇色差,0.03,1,178,-,122
1350,黄气盖不住,0.03,1,190,6.1w+,122
1351,气色很差,0.03,1,2265,9400+,121
1352,喷香水心疼,0.03,1,3544,35w+,121
1353,嘴唇没气色,0.03,1,110,2.2w+,121
1354,小脸油腻,0.03,1,370,13w+,120
1355,暗黄粗糙,0.03,1,90,880+,120
1356,牙黄口臭,0.03,1,57,2900+,120
1357,经常熬夜,0.03,1,90,880+,120
1358,不晒伤,0.03,1,414,1.3w+,118
1359,不晒红,0.03,1,414,1.3w+,118
1360,不晒黑,0.03,1,414,1.3w+,118
1361,光老化,0.03,1,414,1.3w+,118
1362,化妆脱妆,0.03,1,162,4.9w+,118
1363,爆皮斑驳,0.03,1,162,4.9w+,118
1364,脸干卡粉,0.03,1,426,11w+,118
1365,粉扑脏,0.03,1,63,3.4w+,117
1366,结节痘,0.03,1,54,3.1w+,117
1367,手特别累,0.03,1,148,-,117
1368,氧化发黄,0.03,1,751,16w+,117
1369,脸上起痘,0.03,1,256,1.8w+,117
1370,颧宫突出,0.03,1,57,6000+,117
1371,手涂妆厚重,0.03,1,63,3.4w+,117
1372,手涂妆拔干,0.03,1,63,3.4w+,117
1373,眼部护理差,0.03,1,71,-,117
1374,结节难下去,0.03,1,187,8.6w+,117
1375,调色板麻烦,0.03,1,63,3.4w+,117
1376,卸妆卸不干净,0.03,1,52,6900+,117
1377,压眼皮,0.03,1,520,2.2w+,116
1378,有瑕疵,0.03,1,1071,9.7w+,116
1379,费睫毛,0.03,1,520,2.2w+,116
1380,可能断货,0.03,1,1336,8.1w+,116
1381,素颜蜡黄,0.03,1,1071,9.7w+,116
1382,硬的挡视线,0.03,1,520,2.2w+,116
1383,卡皮,0.03,1,237,-,115
1384,费劲,0.03,1,376,8800+,115
1385,铺粉,0.03,1,376,8800+,115
1386,眼线显脏,0.03,1,145,-,115
1387,脱妆出油,0.03,1,224,3.3w+,115
1388,皮肤干燥缺水,0.03,1,245,16w+,115
1389,颗粒感,0.03,1,151,4.1w+,114
1390,卡透底妆,0.03,1,6,-,114
1391,外油内干,0.03,1,36,1.3w+,114
1392,瘙痒反复,0.03,1,40,-,114
1393,阴囊潮湿,0.03,1,40,-,114
1394,烂大街,0.03,1,110,4900+,113
1395,肉松了,0.03,1,161,2.3w+,113
1396,脸松弛,0.03,1,161,2.3w+,113
1397,劣质甜香,0.03,1,110,4900+,113
1398,唇线模糊,0.03,1,57,1.4w+,113
1399,干饭掉色,0.03,1,57,1.4w+,113
1400,种睫毛费钱,0.03,1,139,-,113
1401,脸上无光泽,0.03,1,185,1.4w+,113
1402,贴不上浪费,0.03,1,118,2.9w+,113
1403,带掉自己睫毛,0.03,1,139,-,113
1404,贴不好假睫毛,0.03,1,139,-,113
1405,香味转瞬即逝,0.03,1,110,4900+,113
1406,白皮,0.03,1,244,-,112
1407,有小点点,0.03,1,244,-,112
1408,松松垮垮,0.03,1,59,1.4w+,112
1409,钢板硬歪,0.03,1,358,1.6w+,112
1410,粉饼易破碎,0.03,1,60,5.0w+,112
1411,纹路长上来,0.03,1,59,1.4w+,112
1412,定妆斑驳卡粉,0.03,1,60,5.0w+,112
1413,植绒粉扑松散,0.03,1,60,5.0w+,112
1414,皮肤干燥起皮,0.03,1,132,6.4w+,112
1415,眼霜杯水车薪,0.03,1,59,1.4w+,112
1416,粉饼吸油结块,0.03,1,60,5.0w+,112
1417,黏手,0.03,1,45,1.4w+,111
1418,不会画,0.03,1,468,7.9w+,111
1419,嘴皮干,0.03,1,19,4800+,111
1420,怕刺激,0.03,1,27,-,111
1421,贴不住,0.03,1,45,1.4w+,111
1422,冻干捏碎,0.03,1,45,1.4w+,111
1423,干纹明显,0.03,1,1058,39w+,111
1424,甲片怪异,0.03,1,246,1.2w+,111
1425,肤色发黄,0.03,1,66,250+,111
1426,胶原流失,0.03,1,27,-,111
1427,觉不够睡,0.03,1,834,5.8w+,111
1428,越涂越干,0.03,1,53,3.3w+,111
1429,不会画彩色,0.03,1,468,7.9w+,111
1430,妆容需好气色,0.03,1,66,250+,111
1431,帝王斑斑点点,0.03,1,365,3.9w+,111
1432,瓶瓶罐罐麻烦,0.03,1,834,5.8w+,111
1433,皮肤闹小情绪,0.03,1,27,-,111
1434,脸红,0.03,1,402,5.6w+,110
1435,懒得带,0.03,1,132,6.9w+,110
1436,有胎记,0.03,1,402,5.6w+,110
1437,嘴上拔干,0.03,1,136,1.5w+,110
1438,泡沫易消,0.03,1,10562,20w+,110
1439,洁面残留,0.03,1,10562,20w+,110
1440,皮肤泛红,0.03,1,10562,20w+,110
1441,脸部出油,0.03,1,10562,20w+,110
1442,刷睫毛结块,0.03,1,140,5.1w+,110
1443,洗面奶易化,0.03,1,10562,20w+,110
1444,皮肤干爆皮,0.03,1,131,-,110
1445,洗面奶不拔干,0.03,1,10562,20w+,110
1446,防晒淡妆难卸,0.03,1,10562,20w+,110
1447,不贴妆,0.03,1,144,1.4w+,109
1448,油黏腻,0.03,1,144,1.4w+,109
1449,爱卡粉,0.03,1,53,-,109
1450,皮太重,0.03,1,576,-,109
1451,脸太白,0.03,1,576,-,109
1452,五官扁平,0.03,1,576,-,109
1453,卡粉积线,0.03,1,576,-,109
1454,嘴角泛青,0.03,1,576,-,109
1455,山根不挺,0.03,1,576,-,109
1456,斑点痘印,0.03,1,576,-,109
1457,脸不立体,0.03,1,576,-,109
1458,腮红过重,0.03,1,576,-,109
1459,脸厚重假面,0.03,1,56,1.9w+,109
1460,皮肤红红敏敏,0.03,1,74,2.4w+,109
1461,脸肿,0.03,1,55,-,108
1462,占空间,0.03,1,67,3.8w+,108
1463,祛痘难,0.03,1,188,-,108
1464,花钱快,0.03,1,1127,6.5w+,108
1465,出油出汗,0.03,1,133,4800+,108
1466,吞双眼皮,0.03,1,423,-,108
1467,夹层丢了,0.03,1,172,6.5w+,108
1468,妆感假白,0.03,1,133,4800+,108
1469,妆感结块,0.03,1,55,-,108
1470,毛孔瑕疵,0.03,1,133,4800+,108
1471,瓶瓶罐罐,0.03,1,133,4800+,108
1472,皮肤皱纹,0.03,1,1127,6.5w+,108
1473,皮肤纹多,0.03,1,1127,6.5w+,108
1474,不会选成分,0.03,1,94,3.1w+,108
1475,面部留白大,0.03,1,55,-,108
1476,上妆卡粉斑驳,0.03,1,3398,-,108
1477,下颌线不清晰,0.03,1,55,-,108
1478,怕卡粉,0.03,1,52,-,107
1479,怕暗沉,0.03,1,52,-,107
1480,怕脱妆,0.03,1,52,-,107
1481,笔易干,0.03,1,202,-,107
1482,面较溜,0.03,1,221,2.3w+,107
1483,不想定妆,0.03,1,52,-,107
1484,会卡笔触,0.03,1,202,-,107
1485,劣质香味,0.03,1,501,4.2w+,107
1486,妆留不住,0.03,1,221,2.3w+,107
1487,妆面拔干,0.03,1,100,3.2w+,107
1488,带妆闷脸,0.03,1,100,3.2w+,107
1489,干巴掉渣,0.03,1,202,-,107
1490,眼线手抖,0.03,1,202,-,107
1491,干纹细纹多,0.03,1,155,-,107
1492,眼线笔爱折,0.03,1,202,-,107
1493,胶笔不明白,0.03,1,202,-,107
1494,面较乌块块,0.03,1,221,2.3w+,107
1495,修容显脏飞粉,0.03,1,218,3.5w+,107
1496,爱脱妆,0.03,1,64,1400+,106
1497,耗时长,0.03,1,101,2.4w+,106
1498,下颌肉多,0.03,1,143,560+,106
1499,中庭太长,0.03,1,143,560+,106
1500,卡粉严重,0.03,1,193,5.7w+,106
1501,眼妆麻烦,0.03,1,143,560+,106
1502,肤色不搭,0.03,1,143,560+,106
1503,腮红卡粉,0.03,1,143,560+,106
1504,进修学习,0.03,1,101,2.4w+,106
1505,鼻影不立体,0.03,1,143,560+,106
1506,劣质夹,0.03,1,71,-,105
1507,妆白化,0.03,1,80,1.3w+,105
1508,小脸干,0.03,1,62,5200+,105
1509,粉质粗,0.03,1,80,1.3w+,105
1510,难把控,0.03,1,120,2400+,105
1511,毛孔撑大,0.03,1,71,-,105
1512,皮肤戳红,0.03,1,71,-,105
1513,皮肤掉皮,0.03,1,1132,5.0w+,105
1514,眼影显肿,0.03,1,2125,-,105
1515,眼睛干燥,0.03,1,41,760+,105
1516,睫毛短秃,0.03,1,131,-,105
1517,黑头难清,0.03,1,71,-,105
1518,上眼皮耷拉,0.03,1,41,760+,105
1519,寡淡口水色,0.03,1,643,9200+,105
1520,睫毛易晕妆,0.03,1,131,-,105
1521,脸又红又干,0.03,1,62,5200+,105
1522,粉底卡粉脱妆,0.03,1,227,4.0w+,105
1523,粉底液遮不住,0.03,1,227,4.0w+,105
1524,脸上蜡黄斑点,0.03,1,227,4.0w+,105
1525,贴假睫毛费心,0.03,1,131,-,105
1526,早起,0.03,1,570,60+,104
1527,松垮垮,0.03,1,555,4.4w+,104
1528,不好坚持,0.03,1,234,10w+,104
1529,力度不均,0.03,1,234,10w+,104
1530,没有光亮,0.03,1,555,4.4w+,104
1531,脸大不适,0.03,1,234,10w+,104
1532,又紧绷干燥,0.03,1,555,4.4w+,104
1533,妆前隔离费,0.03,1,570,60+,104
1534,美容仪费劲,0.03,1,234,10w+,104
1535,留痘印,0.03,1,63,7.1w+,103
1536,脸很油,0.03,1,66,-,103
1537,手涂太慢,0.03,1,27,-,103
1538,皮肤出油,0.03,1,444,17w+,103
1539,脸蛋干燥,0.03,1,83,1.0w+,103
1540,嘴睫快嘴眉,0.03,1,70,2.9w+,103
1541,脸泛黄暗沉,0.03,1,83,1.0w+,103
1542,一刷睫毛就炸,0.03,1,70,2.9w+,103
1543,痘痘挤不干净,0.03,1,63,7.1w+,103
1544,脸不润,0.03,1,48,6500+,102
1545,脸没光,0.03,1,48,6500+,102
1546,补口红,0.03,1,160,-,102
1547,长干纹,0.03,1,48,6500+,102
1548,长细纹,0.03,1,48,6500+,102
1549,化妆起皮,0.03,1,59,-,102
1550,卸不干净,0.03,1,133,1.2w+,102
1551,毛孔黑头,0.03,1,44,310+,102
1552,不舍买香水,0.03,1,74,-,102
1553,内烫,0.03,1,109,-,101
1554,长斑,0.03,1,484,4.0w+,101
1555,红敏热,0.03,1,109,-,101
1556,难推开,0.03,1,29028,39w+,101
1557,难清洁,0.03,1,29028,39w+,101
1558,底妆不牢,0.03,1,29028,39w+,101
1559,怕不适合,0.03,1,132,13w+,101
1560,清洁不够,0.03,1,679,-,101
1561,痘印明显,0.03,1,29,4.3w+,101
1562,脸有皱纹,0.03,1,484,4.0w+,101
1563,防晒力弱,0.03,1,29028,39w+,101
1564,需要遮瑕,0.03,1,29,4.3w+,101
1565,单价不便宜,0.03,1,132,13w+,101
1566,瑕疵遮不好,0.03,1,207,1.8w+,101
1567,干燥暗沉发黄,0.03,1,120,5900+,101
1568,遮瑕卡粉厚重,0.03,1,207,1.8w+,101
1569,爆汗脱妆,0.03,1,215,9.2w+,100
1570,眼部松弛,0.03,1,108,1.3w+,100
1571,闭口痘痘粉刺,0.03,1,180,3.7w+,100
1572,大面脸,0.03,1,35,2600+,99
1573,妆容凹,0.03,1,35,2600+,99
1574,无轮廓,0.03,1,35,2600+,99
1575,脸油暗,0.03,1,76,3.2w+,99
1576,脸烫红,0.03,1,22185,21w+,99
1577,瑕疵皮肤,0.03,1,45,8700+,99
1578,紧绷刺挠,0.03,1,22185,21w+,99
1579,遮瑕卡粉,0.03,1,244,4.7w+,99
1580,卡粉不服帖,0.03,1,22185,21w+,99
1581,画错,0.03,1,29,-,98
1582,法令瘪,0.03,1,145,7.1w+,98
1583,眼周垮,0.03,1,145,7.1w+,98
1584,脸无气质,0.03,1,94,-,98
1585,洗面奶用完,0.03,1,94,-,98
1586,卷边,0.03,1,242,-,97
1587,怕晒,0.03,1,84,9400+,97
1588,深唇,0.03,1,100,2.1w+,97
1589,翘边,0.03,1,242,-,97
1590,脱落,0.03,1,242,-,97
1591,不显高级,0.03,1,99,4.3w+,97
1592,台阶明显,0.03,1,715,2.4w+,97
1593,定妆麻烦,0.03,1,214,7000+,97
1594,拔干卡粉,0.03,1,965,2.4w+,97
1595,持妆困难,0.03,1,84,9400+,97
1596,斑驳脱妆,0.03,1,965,2.4w+,97
1597,粉感粗糙,0.03,1,965,2.4w+,97
1598,脸上皱纹,0.03,1,340,1.8w+,97
1599,洗浴中心贵,0.03,1,253,-,97
1600,红色太隆重,0.03,1,100,2.1w+,97
1601,裸色没气色,0.03,1,100,2.1w+,97
1602,出油卡粉,0.03,1,61,-,96
1603,泛红爆皮,0.03,1,61,-,96
1604,皮肤干松,0.03,1,1178,-,96
1605,脸痒卡粉,0.03,1,4672,22w+,96
1606,嘴粘,0.03,1,22,5.5w+,95
1607,不欢心,0.03,1,688,4.8w+,95
1608,手脱皮,0.03,1,581,4.0w+,95
1609,粘毛领,0.03,1,272,-,95
1610,闷痘痘,0.03,1,272,-,95
1611,厚重黏腻,0.03,1,91,-,95
1612,唇纹暗沉,0.03,1,513,-,95
1613,拉扯皮肤,0.03,1,555,-,95
1614,搓红搓薄,0.03,1,555,-,95
1615,爱答不理,0.03,1,688,4.8w+,95
1616,脸红闷痘,0.03,1,555,-,95
1617,一碰水就掉,0.03,1,100,1200+,95
1618,修容不自然,0.03,1,43,-,95
1619,修容易发灰,0.03,1,43,-,95
1620,修容易发红,0.03,1,43,-,95
1621,修容有痕迹,0.03,1,43,-,95
1622,心疼面膜钱,0.03,1,45,1.8w+,95
1623,显黄显暗沉,0.03,1,120,-,95
1624,传统胶水麻烦,0.03,1,100,1200+,95
1625,贴不好穿戴甲,0.03,1,100,1200+,95
1626,不抗氧,0.03,1,102,-,94
1627,显年纪,0.03,1,11,4700+,94
1628,有眼袋,0.03,1,11,4700+,94
1629,糊油膜,0.03,1,108,3.5w+,94
1630,干到爆皮,0.03,1,108,3.5w+,94
1631,脸蛋不稳定,0.03,1,116,7.5w+,94
1632,包小,0.03,1,64,9000+,93
1633,买正装,0.03,1,68,1.8w+,93
1634,大冬天,0.03,1,55,8300+,93
1635,冒油冒汗,0.03,1,85,2900+,93
1636,唇膏易丢,0.03,1,75,4700+,93
1637,嘴巴发青,0.03,1,51,1.7w+,93
1638,妆感消失,0.03,1,197,3.8w+,93
1639,控不好油,0.03,1,55,8300+,93
1640,皮肤干裂,0.03,1,139,3.2w+,93
1641,皮肤爆皮,0.03,1,139,3.2w+,93
1642,眉毛掉色,0.03,1,55,7100+,93
1643,画不好嘴歪,0.03,1,51,1.7w+,93
1644,买多用霜不行,0.03,1,52,2.9w+,93
1645,油光毛孔瑕疵,0.03,1,85,2900+,93
1646,等不及,0.03,1,95,4.9w+,92
1647,脸干纹,0.03,1,80,4.9w+,92
1648,出门怕晒,0.03,1,65,-,92
1649,底妆厚重,0.03,1,95,10w+,92
1650,皮肤易敏,0.03,1,218,10w+,92
1651,拔干卡唇纹,0.03,1,216,7.1w+,92
1652,皮肤不稳定,0.03,1,218,10w+,92
1653,高光用不明白,0.03,1,195,-,92
1654,多收钱,0.03,1,151,1.5w+,91
1655,黑头臭,0.03,1,90,2.6w+,91
1656,卡纹移位,0.03,1,1337,-,91
1657,手揿后红,0.03,1,90,2.6w+,91
1658,甜色黑眉,0.03,1,15,7500+,91
1659,生硬呆板,0.03,1,15,7500+,91
1660,皂滑难拿,0.03,1,40,-,91
1661,皂盒闷坏,0.03,1,40,-,91
1662,眉尾空缺,0.03,1,15,7500+,91
1663,肥皂伤扑,0.03,1,40,-,91
1664,黑头辣痛,0.03,1,90,2.6w+,91
1665,嘴巴干起皮,0.03,1,235,90+,91
1666,洗面奶乱送,0.03,1,151,1.5w+,91
1667,和妆容不适配,0.03,1,15,7500+,91
1668,手揿后毛孔粗,0.03,1,90,2.6w+,91
1669,唇纹显,0.03,1,226,-,90
1670,下午返黑,0.03,1,64,-,90
1671,熬夜脸黄,0.03,1,113,6.5w+,90
1672,眼线反光,0.03,1,38,2.4w+,90
1673,眼线空隙,0.03,1,38,2.4w+,90
1674,经常断货,0.03,1,103,-,90
1675,肌肤紧绷,0.03,1,341,2.3w+,90
1676,卧蚕不立体,0.03,1,103,-,90
1677,卧蚕不饱满,0.03,1,103,-,90
1678,眼线不显色,0.03,1,38,2.4w+,90
1679,美睫店花钱,0.03,1,74,-,90
1680,出油氧化暗黄,0.03,1,113,6.5w+,90
1681,暗沉痘印斑点,0.03,1,113,6.5w+,90
1682,遮不住黑眼圈,0.03,1,64,-,90
1683,疤痕,0.03,1,47,-,89
1684,掉浮皮,0.03,1,149,3.9w+,89
1685,用不好,0.03,1,33,-,89
1686,身上干,0.03,1,149,3.9w+,89
1687,黑印子,0.03,1,47,-,89
1688,唇油太粘,0.03,1,10,2.1w+,89
1689,唇膜限用,0.03,1,10,2.1w+,89
1690,嫁接费高,0.03,1,60,2.1w+,89
1691,润后又干,0.03,1,10,2.1w+,89
1692,爱做小项目,0.03,1,50,-,89
1693,眼袋黑眼圈,0.03,1,84,7900+,89
1694,种睫毛越秃,0.03,1,60,2.1w+,89
1695,要涂素颜霜,0.03,1,47,-,89
1696,换季易红易敏,0.03,1,50,-,89
1697,库存不足,0.03,1,1112,4.7w+,88
1698,眼周纹深,0.03,1,22,-,88
1699,肤色蜡黄,0.03,1,267,4.0w+,88
1700,加发黄垮脸,0.03,1,34,4.4w+,88
1701,换季小情绪,0.03,1,34,4.4w+,88
1702,皮肤油黑脏,0.03,1,402,1.5w+,88
1703,紧绷干巴巴,0.03,1,64,1.8w+,88
1704,化妆起皮卡粉,0.03,1,34,4.4w+,88
1705,不紧绷,0.03,1,67,420+,87
1706,价格太高,0.03,1,31,1.2w+,87
1707,厌食出油,0.03,1,67,420+,87
1708,有台阶感,0.03,1,79,9500+,87
1709,疙瘩不断,0.03,1,67,420+,87
1710,化妆盖疲惫,0.03,1,51,-,87
1711,异物感,0.03,1,32,1.3w+,86
1712,上妆量多,0.03,1,865,6.3w+,86
1713,代价太大,0.03,1,56,2.2w+,86
1714,出油干燥,0.03,1,65,5300+,86
1715,成本太高,0.03,1,56,2.2w+,86
1716,油性皮肤,0.03,1,336,4.8w+,86
1717,皮肤不适,0.03,1,16,-,86
1718,皮肤可干,0.03,1,2863,31w+,86
1719,贴留胶印,0.03,1,50,-,86
1720,颗粒感重,0.03,1,261,-,86
1721,高光易碎,0.03,1,865,6.3w+,86
1722,底妆一蹭掉,0.03,1,261,-,86
1723,暗沉无光泽,0.03,1,18,2.7w+,86
1724,肤色不满意,0.03,1,16,-,86
1725,出油毛孔粗大,0.03,1,142,1.0w+,86
1726,皮肤老爱出油,0.03,1,27,1.3w+,86
1727,脸上密密麻麻,0.03,1,43,1.2w+,86
1728,面斑,0.03,1,51,6800+,85
1729,不讨喜,0.03,1,222,2.8w+,85
1730,怕开裂,0.03,1,9,-,85
1731,不能解脱,0.03,1,598,4.4w+,85
1732,生硬反光,0.03,1,505,-,85
1733,皮肤野黄,0.03,1,51,6800+,85
1734,线条偏粗,0.03,1,173,-,85
1735,护肤品擦过,0.03,1,116,-,85
1736,没好好洗脸,0.03,1,116,-,85
1737,脱皮,0.03,1,129,1.1w+,84
